,n,q,r,a,u,e,p,name,Winner17,Winner15,q2,r2,nameshort,gain or hold,
E14000664,Derbyshire Dales,-3,3,EM,UKF,63476,79872,Derbyshire Dales,Con,Con,-2.5,3,Der,Con hold ,
E14000665,Devizes,-5,-10,SW,UKK,69205,102273,Devizes,Con,Con,-5,-10,Dev,Con hold ,
E14000666,Dewsbury,-2,7,YH,UKE,79770,113692,Dewsbury,Lab,Lab,-1.5,7,Dew,Lab hold ,
E14000667,Don Valley,1,5,YH,UKE,71299,100175,Don Valley,Lab,Lab,1.5,5,Don,Lab hold ,
E14000668,Doncaster Central,1,6,YH,UKE,71136,110064,Doncaster Central,Lab,Lab,1,6,Don,Lab hold ,
E14000669,Doncaster North,0,6,YH,UKE,70989,98701,Doncaster North,Lab,Lab,0,6,Don,Lab hold ,
E14000670,Dover,13,-12,SE,UKJ,72930,101535,Dover,Con,Con,13,-12,Dov,Con hold ,
E14000671,Dudley North,-7,-3,WM,UKG,60717,84817,Dudley North,Lab,Lab,-6.5,-3,Dud,Lab hold ,
E14000672,Dudley South,-6,-4,WM,UKG,60363,81197,Dudley South,Con,Con,-6,-4,Dud,Con hold ,
E14000673,Dulwich and West Norwood,5,-13,LO,UKI,76575,116035,Dulwich and West Norwood,Lab,Lab,5.5,-13,Dul,Lab hold ,
E14000674,Ealing Central and Acton,1,-10,LO,UKI,71422,122419,Ealing Central and Acton,Lab,Lab,1,-10,Eal,Lab hold ,
E14000675,Ealing North,0,-9,LO,UKI,73881,121080,Ealing North,Lab,Lab,0.5,-9,Eal,Lab hold ,
E14000676,"Ealing, Southall",0,-10,LO,UKI,65606,99237,"Ealing, Southall",Lab,Lab,0,-10,Eal,Lab hold ,
E14000677,Easington,0,14,NE,UKC,61659,82631,Easington,Lab,Lab,0,14,Eas,Lab hold ,
E14000678,East Devon,-11,-14,SW,UKK,76519,104193,East Devon,Con,Con,-11,-14,Eas,Con hold ,
E14000679,East Ham,7,-9,LO,UKI,87382,162796,East Ham,Lab,Lab,7.5,-9,Eas,Lab hold ,
E14000680,East Hampshire,-3,-12,SE,UKJ,71074,98009,East Hampshire,Con,Con,-3,-12,Eas,Con hold ,
E14000681,East Surrey,9,-14,SE,UKJ,79654,111878,East Surrey,Con,Con,9,-14,Eas,Con hold ,
E14000682,East Worthing and Shoreham,4,-15,SE,UKJ,74775,99758,East Worthing and Shoreham,Con,Con,4.5,-15,Eas,Con hold ,
E14000683,East Yorkshire,3,10,YH,UKE,81023,101516,East Yorkshire,Con,Con,3,10,Eas,Con hold ,
E14000684,Eastbourne,9,-15,SE,UKJ,78262,110809,Eastbourne,LD,Con,9.5,-15,Eas,LD gain from Con,
E14000685,Eastleigh,-4,-12,SE,UKJ,79609,108865,Eastleigh,Con,Con,-4,-12,Eas,Con hold ,
E14000686,Eddisbury,-7,1,NW,UKD,68569,89467,Eddisbury,Con,Con,-6.5,1,Edd,Con hold ,
E14000687,Edmonton,5,-7,LO,UKI,66016,120266,Edmonton,Lab,Lab,5.5,-7,Edm,Lab hold ,
E14000688,Ellesmere Port and Neston,-9,1,NW,UKD,69223,87285,Ellesmere Port and Neston,Lab,Lab,-8.5,1,Ell,Lab hold ,
E14000689,Elmet and Rothwell,2,10,YH,UKE,79143,100292,Elmet and Rothwell,Con,Con,2,10,Elm,Con hold ,
E14000690,Eltham,8,-12,LO,UKI,63998,95175,Eltham,Lab,Lab,8,-12,Elt,Lab hold ,
E14000691,Enfield North,5,-6,LO,UKI,68118,109930,Enfield North,Lab,Lab,5,-6,Enf,Lab hold ,
E14000692,"Enfield, Southgate",4,-6,LO,UKI,64937,102509,"Enfield, Southgate",Lab,Con,4,-6,Enf,Lab gain from Con,
E14000693,Epping Forest,9,-6,EA,UKH,73447,100102,Epping Forest,Con,Con,9,-6,Epp,Con hold ,
E14000694,Epsom and Ewell,1,-13,SE,UKJ,78633,109981,Epsom and Ewell,Con,Con,1.5,-13,Eps,Con hold ,
E14000695,Erewash,1,0,EM,UKF,71943,97103,Erewash,Con,Con,1,0,Ere,Con hold ,
E14000696,Erith and Thamesmead,8,-11,LO,UKI,70397,121265,Erith and Thamesmead,Lab,Lab,8.5,-11,Eri,Lab hold ,
